eunis_code	jncc_code
A1	LR
A1.1	LR.HLR
A1.11	LR.HLR.MusB
A1.111	LR.HLR.MusB.MytB
A1.112	LR.HLR.MusB.Cht
A1.1121	LR.HLR.MusB.Cht.Cht
A1.1122	LR.HLR.MusB.Cht.Lpyg
A1.113	LR.HLR.MusB.Sem
A1.1131	LR.HLR.MusB.Sem.Sem
A1.1132	LR.HLR.MusB.Sem.FvesR
A1.1133	LR.HLR.MusB.Sem.LitX
A1.12	LR.HLR.FR
A1.121	LR.HLR.FR.Fdis
A1.122	LR.HLR.FR.Coff
A1.1221	LR.HLR.FR.Coff.Coff
A1.1222	LR.HLR.FR.Coff.Puly
A1.123	LR.HLR.FR.Him
A1.124	LR.HLR.FR.Pal
A1.125	LR.HLR.FR.Mas
A1.126	LR.HLR.FR.Osm
A1.127	LR.HLR.FR.RPid
A1.15	LR.HLR.FT
A1.151	LR.HLR.FT.AscT
A1.152	LR.HLR.FT.FserT
A1.153	LR.HLR.FT.FserTX
A1.2	LR.MLR
A1.21	LR.MLR.BF
A1.211	LR.MLR.BF.PelB
A1.212	LR.MLR.BF.FspiB
A1.213	LR.MLR.BF.FvesB
A1.214	LR.MLR.BF.Fser
A1.2141	LR.MLR.BF.Fser.R
A1.2142	LR.MLR.BF.Fser.Bo
A1.2143	LR.MLR.BF.Fser.Pid
A1.215	LR.MLR.BF.Rho
A1.22	LR.MLR.MusF
A1.221	LR.MLR.MusF.MytFves
A1.222	LR.MLR.MusF.MytFR
A1.223	LR.MLR.MusF.MytPid
A1.3	LR.LLR
A1.31	LR.LLR.F
A1.311	LR.LLR.F.Pel
A1.312	LR.LLR.F.Fspi
A1.3121	LR.LLR.F.Fspi.FS
A1.3122	LR.LLR.F.Fspi.X
A1.313	LR.LLR.F.Fves
A1.3131	LR.LLR.F.Fves.FS
A1.3132	LR.LLR.F.Fves.X
A1.314	LR.LLR.F.Asc
A1.3141	LR.LLR.F.Asc.FS
A1.3142	LR.LLR.F.Asc.X
A1.315	LR.LLR.F.Fserr
A1.3151	LR.LLR.F.Fserr.FS
A1.3152	LR.LLR.F.Fserr.X
A1.32	LR.LLR.FVS
A1.321	LR.LLR.FVS.PelVS
A1.322	LR.LLR.FVS.FspiVS
A1.323	LR.LLR.FVS.FvesVS
A1.324	LR.LLR.FVS.AscVS
A1.325	LR.LLR.FVS.Ascmac
A1.326	LR.LLR.FVS.FserVS
A1.327	LR.LLR.FVS.Fcer
A1.4	LR.FLR
A1.41	LR.FLR.Rkp
A1.411	LR.FLR.Rkp.Cor
A1.4111	LR.FLR.Rkp.Cor.Cor
A1.4112	LR.FLR.Rkp.Cor.Par
A1.4113	LR.FLR.Rkp.Cor.Bif
A1.4114	LR.FLR.Rkp.Cor.Cys
A1.412	LR.FLR.Rkp.FK
A1.4121	LR.FLR.Rkp.FK.Sar
A1.413	LR.FLR.Rkp.SwSed
A1.414	LR.FLR.Rkp.H
A1.42	LR.FLR.Rkp
A1.421	LR.FLR.Rkp.G
A1.44	LR.FLR.CvOv
A1.441	LR.FLR.CvOv.ChrHap
A1.442	LR.FLR.CvOv.GCv
A1.443	LR.FLR.CvOv.AudPil
A1.444	LR.FLR.CvOv.AudCla
A1.445	LR.FLR.CvOv.VmucHil
A1.446	LR.FLR.CvOv.SpR
A1.4461	LR.FLR.CvOv.SpR.Den
A1.447	LR.FLR.CvOv.SpByAs
A1.448	LR.FLR.CvOv.FaCr
A1.449	LR.FLR.CvOv.ScrFa
A1.44A	LR.FLR.CvOv.BarCv
A1.45	LR.FLR.Eph
A1.451	LR.FLR.Eph.Ent
A1.452	LR.FLR.Eph.EntPor
A2	LS
A2.1	LS.LCS
A2.11	LS.LCS.Sh
A2.111	LS.LCS.Sh.BarSh
A2.112	LS.LCS.Sh.Pec
A2.2	LS.LSa
A2.21	LS.LSa.St
A2.211	LS.LSa.St.Tal
A2.212	LS.LSa.St.MytFab
A2.22	LS.LSa.MoSa
A2.221	LS.LSa.MoSa.BarSa
A2.222	LS.LSa.MoSa.Ol
A2.2221	LS.LSa.MoSa.Ol.FS
A2.2222	LS.LSa.MoSa.Ol.VS
A2.223	LS.LSa.MoSa.AmSco
A2.2231	LS.LSa.MoSa.AmSco.Sco
A2.2232	LS.LSa.MoSa.AmSco.Eur
A2.2233	LS.LSa.MoSa.AmSco.Pon
A2.23	LS.LSa.FiSa
A2.231	LS.LSa.FiSa.Po
A2.2311	LS.LSa.FiSa.Po
A2.2312	LS.LSa.FiSa.Po.Aten
A2.2313	LS.LSa.FiSa.Po.Ncir
A2.24	LS.LSa.MuSa
A2.241	LS.LSa.MuSa.MacAre
A2.242	LS.LSa.MuSa.CerPo
A2.243	LS.LSa.MuSa.HedMacEte
A2.244	LS.LSa.MuSa.BatCare
A2.245	LS.LSa.MuSa.Lan
A2.3	LS.LMu
A2.31	LS.LMu.MEst
A2.311	LS.LMu.MEst.NhomMacStr
A2.312	LS.LMu.MEst.HedMac
A2.313	LS.LMu.MEst.HedMacScr
A2.32	LS.LMu.UEst
A2.321	LS.LMu.UEst.NhomStr
A2.322	LS.LMu.UEst.Hed
A2.3221	LS.LMu.UEst.Hed.Str
A2.3222	LS.LMu.UEst.Hed.Cvol
A2.3223	LS.LMu.UEst.Hed.Ol
A2.323	LS.LMu.UEst.Tben
A2.4	LS.LMx
A2.411	LS.LMx.GvMu.HedMx
A2.4111	LS.LMx.GvMu.HedMx.Mac
A2.4112	LS.LMx.GvMu.HedMx.Scr
